WKT,SISTEMA_DE,PUNTO_DE_M,N,E,Nitrato,Distrito,Canton,Provincia,r_cont_n,c_canton,POINT_X,POINT_Y
"POINT (521874.0 1099165.0)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 1 (H. AGUILAR 1),"1099165","521874",7.04000000000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.80050800670,9.94045181409
"POINT (521793.0 1099158.0)",BUENAVISTA DE PACAYAS: SECTOR NORTE,NACIENTE BUENAVISTA 2 (H. AGUILAR 2),"1099158","521793",7.41000000000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.80124676600,9.94038896060
"POINT (520542.0 1095901.0)",SISTEMA 7: PACAYAS BUENOS AIRES,NACIENTE MAINOR,"1095901","520542",24.98000000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81267264430,9.91094622679
"POINT (520757.999999999 1099113.0)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE LA ISLA,"1099113","520758",25.72750000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81068621460,9.93998754848
"POINT (518940.0 1095429.0)",SISTEMA 4 PACAYAS LOS ÁNGELES,LOS ANGELES 1 (Jose Castro),"1095429","518940",8.02916700000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82728384610,9.90668629823
"POINT (520961.0 1096703.0)",SISTEMA 6 LOURDES VICENTE SERRANO,NACIENTE VICENTE SERRANO,"1096703","520961",27.10454500000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.80884749760,9.91819564180
"POINT (522693.000000002 1097813.0)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE ABRAHAM 1,"1097813","522693",5.19800000000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.79304640170,9.92822271641
"POINT (519244.000000001 1096497.0)",SISTEMA 10 PACAYAS LLANO GRANDE 3,NACIENTE ANIBAL BARQUERO,"1096497","519244",4.53900000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82450650750,9.91634157395
"POINT (520961.0 1098007.0)",SISTEMA 1 PACAYAS CENTRO,NACIENTE BARBACOAS,"1098007","520961",13.86000000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.80884065980,9.92998621565
"POINT (520480.0 1097758.0)",SISTEMA 15 LOURDES SECTOR LOS BRENES,NACIENTE ZENÓN LEANDRO,"1097758","520480",21.17285700000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81322852560,9.92773726831
"POINT (524452.0 1097175.0)",SISTEMA 3 CAPELLADES CALLEJÓN (LOURDES),NACIENTE CALLEJÓN 1,"1097175","524452",4.92818200000,Capellades,Alvarado,Cartago,1.00000000000,"306",-83.77700881430,9.92244373876
"POINT (522558.0 1097569.0)",SISTEMA 1 CAPELLADES CENTRO,NACIENTE EL SALTO,"1097569","522558",3.85000000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.79427893450,9.92601726501
"POINT (518940.0 1095429.0)",SISTEMA 4 PACAYAS LOS ÁNGELES,NACIENTE LOS ANGELES (JOSÉ CASTRO,"1095429","518940",8.07636400000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82728384610,9.90668629823
"POINT (518933.0 1096848.0)",SISTEMA 11 PACAYAS LLANO GRANDE 4,NACIENTE LOS GÓMEZ,"1096848","518933",10.30000000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.82734096670,9.91951673940
"POINT (520212.999999999 1097511.0)",SISTEMA 1 PACAYAS CENTRO,NACIENTE MARÍA CRISTINA,"1097511","520213",13.59166700000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81566472630,9.92550527848
"POINT (518757.0 1097462.0)",SISTEMA 8 Y 9 PACAYAS LLANO GRANDE 1 Y 2,NACIENTE SAN PABLO 1,"1097462","518757",2.69666700000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82894310890,9.92506926503
"POINT (520131.0 1095591.0)",SISTEMA 3 PACAYAS PATALILLO BARRIO FÁTIMA,NACIENTE NORE GÓMEZ,"1095591","520131",22.43125000000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81642219580,9.90814531963
"POINT (519453.0 1097111.0)",SISTEMA 1 PACAYAS CENTRO,NACIENTE PACAYÓN (RUBEN),"1097111","519453",3.52900000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.82259757540,9.92189227428
"POINT (520044.999999999 1098033.0)",SISTEMA 12 LOURDES LA CAPILLA,NACIENTE MARTÍN MONTERO,"1098033","520045",14.67333333000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.81719420170,9.93022596484
"POINT (511623.000000001 1100885.0)",LLANO GRANDE DE CARTAGO: SECTOR FUENTES SAN LUIS,NACIENTE SAN LUIS 3,"1100885","511623",60.80000000000,Llano Grande,Cartago,Cartago,3.00000000000,"301",-83.89399247520,9.95604649184
"POINT (510255.000000001 1099708.0)",LLANO GRANDE DE CARTAGO: SECTOR CASA VIEJA,NACIENTE CASA VIEJA,"1099708","510255",52.58000000000,Llano Grande,Cartago,Cartago,3.00000000000,"301",-83.90647232950,9.94540792851
"POINT (510971.0 1099213.0)",LLANO GRANDE DE CARTAGO: SECTOR RETES,NACIENTE RETES,"1099213","510971",45.41000000000,Llano Grande,Cartago,Cartago,2.00000000000,"301",-83.89994363290,9.94093031020
"POINT (510971.0 1099833.0)",LLANO GRANDE CARTAGO: SECT. BARRIO LOS ANGELES Y PAVAS,NACIENTE CHECHENIA,"1099833","510971",39.07000000000,Llano Grande,Cartago,Cartago,2.00000000000,"301",-83.89994192770,9.94653627413
"POINT (512130.0 1100945.0)",TIERRA BLANCA: CIUDADELA GRACIANO Y LA TRINIDAD,"MEZCLA DE NACIENTES MIQUELA- VUELTA LEÓN 1,2 Y 3","1100945","512130",33.01000000000,Llano Grande,Cartago,Cartago,2.00000000000,"301",-83.88936820690,9.95658750548
"POINT (509732.999999999 1099303.0)",LLANO GRANDE DE CARTAGO: SECTOR EBAIS VIEJO,NACIENTE FRANCO,"1099303","509733",19.02000000000,Llano Grande,Cartago,Cartago,2.00000000000,"301",-83.91123405900,9.94174726376
"POINT (512402.999999999 1100863.0)",TIERRA BLANCA DE CARTAGO,NACIENTE VUELTA LEÓN 1,"1100863","512403",3.38000000000,Llano Grande,Cartago,Cartago,1.00000000000,"301",-83.88687856610,9.95584523904
"POINT (512458.0 1100872.0)",TIERRA BLANCA DE CARTAGO,NACIENTE VUELTA LEÓN 3,"1100872","512458",2.01000000000,Llano Grande,Cartago,Cartago,1.00000000000,"301",-83.88637691170,9.95592644572
"POINT (512268.000000001 1096944.0)",TIERRA BLANCA DE CARTAGO,NACIENTE RODILLAL,"1096944","512268",59.90500000000,Tierra Blanca,Cartago,Cartago,3.00000000000,"301",-83.88812187590,9.92041053810
"POINT (509150.0 1099183.0)",LLANO GRANDE DE CARTAGO: SECTOR NACIENTE EMPALOO,NACIENTE EMPALAO,"1099183","509150",29.58666667000,Llano Grande,Cartago,Cartago,2.00000000000,"301",-83.91655134890,9.94066360556
"POINT (511199.0 1099850.0)",LLANO GRANDE DE CARTAGO: SECTOR NACIENTE PAVAS,NACIENTE PAVAS,"1099850","511199",19.28500000000,Llano Grande,Cartago,Cartago,2.00000000000,"301",-83.89786246920,9.94668935769
"POINT (518093.0 1098482.0)",SANTA ROSA DE OREAMUNO: SECTOR NACIENTE DE AGUA FRÍA,NACIENTE MANUEL GRANADOS,"1098482","518093",36.12058824000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.83499390580,9.93429499803
"POINT (515140.000000001 1100069.0)",POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 1,"1100069","515140",26.30981818000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86191884760,9.94865662262
"POINT (517005.0 1093541.0)",CIPRESES DE OREAMUNO,NACIENTE EDWIN COTO,"1093541","517005",25.69222222000,Cipreses,Oreamuno,Cartago,2.00000000000,"307",-83.84493730790,9.88962383465
"POINT (518299.0 1098599.0)",SANTA ROSA DE OREAMUNO,NACIENTE AGUA FRÍA,"1098599","518299",34.37142857000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.83311467860,9.93535196465
"POINT (519127.0 1095223.0)","CIPRESES, ORATORIO Y CAPIRA DE OREAMUNO",NACIENTE PLANTÓN,"1095223","519127",27.64179487000,Pacayas,Alvarado,Cartago,2.00000000000,"306",-83.82557955970,9.90482279189
"POINT (515157.0 1099010.0)",COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 2,"1099010","515157",27.38824176000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86176782680,9.93908122396
"POINT (515171.0 1099015.0)",COT DE OREAMUNO: SECTOR OESTE,NACIENTE SAN JUAN DE CHICÚA 1,"1099015","515171",27.28401130000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86164012780,9.93912638056
"POINT (517042.000000001 1100057.0)",SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE BENJAMIN HULET,"1100057","517042",25.17034483000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.84457215370,9.94854051018
"POINT (516705.0 1099863.0)",SANTA ROSA DE OREAMUNO: SECT.NACTES BIRRIS Y CARLOS MARTÍNEZ,NACIENTE CARLOS MARTÍNEZ,"1099863","516705",17.26761905000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.84764649390,9.94678780388
"POINT (515819.0 1100068.0)",POTRERO CERRADO DE OREAMUNO,Naciente los Quemados,"1100068","515819",17.96947368000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.85572618960,9.94864496723
"POINT (516681.0 1101278.0)",POTRERO CERRADO DE OREAMUNO,NACIENTE POZO AMARILLO,"1101278","516681",9.11083333300,Santa Rosa,Oreamuno,Cartago,1.00000000000,"307",-83.84785945610,9.95958212689
"POINT (516854.0 1100502.0)",SAN JUAN DE SAN GERARDO DE SANTA ROSA: CENTRO,NACIENTE MIGUEL BRENES,"1100502","516854",11.96000000000,Santa Rosa,Oreamuno,Cartago,2.00000000000,"307",-83.84628488100,9.95256492781
"POINT (517913.0 1100492.0)",SANTA ROSA DE OREAMUNO: SECTOR NAC. BIRRÍS Y CARLOS MARTÍNEZ,NACIENTE BIRRIS,"1100492","517913",8.88473684200,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.83662645510,9.95246992991
"POINT (517902.0 1100490.0)",SAN PABLO DE SANTA ROSA DE OREAMUNO: SECTOR NACIENTE BIRRIS1,NACIENTE BIRRIS 1,"1100490","517902",9.36000000000,Pacayas,Alvarado,Cartago,1.00000000000,"306",-83.83672678810,9.95245189521
"POINT (518068.0 1100342.0)",SAN PABLO DE SANTA ROSA DE OREAMUNO: NACIENTE BIRRIS 2,NACIENTE BIRRIS 2,"1100342","518068",8.53615384600,Santa Rosa,Oreamuno,Cartago,1.00000000000,"307",-83.83521347860,9.95111295888
"POINT (516632.0 1094111.0)",CIPRESES DE OREAMUNO: SECTOR NACIENTE CARLOS CALVO,NACIENTE CARLOS CALVO,"1094111","516632",8.92818181800,Cipreses,Oreamuno,Cartago,1.00000000000,"307",-83.84833619350,9.89477926071
"POINT (513707.999999999 1092712.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL AGUACATE,"1092712","513708",29.41676471000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87500428240,9.88214061252
"POINT (512309.0 1093553.0)",LA CHINCHILLA SAN RAFAEL DE OREAMUNO: CENTRO,NACIENTE ARIETE,"1093553","512309",56.48000000000,San Rafael,Oreamuno,Cartago,3.00000000000,"307",-83.88775839740,9.88974934890
"POINT (513992.0 1092562.0)",MATA DE MORA SAN RAFAEL DE OREAMUNO,NACIENTE EL SOL,"1092562","513992",32.66000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87241516960,9.88078335581
"POINT (514273.0 1092587.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE LA POZA,"1092587","514273",28.17000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.86985281120,9.88100842273
"POINT (514259.0 1093898.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL SALTO,"1093898","514259",31.26111111000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.86997581080,9.89286240070
"POINT (513707.999999999 1092712.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE EL AGUACATE,"1092712","513708",28.63666667000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87500428240,9.88214061252
"POINT (514176.999999999 1092397.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,Naciente La Nueva,"1092397","514177",17.38000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87072884860,9.87929079853
"POINT (511315.0 1093542.0)",CALLE CHINCHILLA VIEJA DE SAN RAFAEL DE OREAMUNO,NACIENTE REGINA,"1093542","511315",28.78800000000,San Rafael,Oreamuno,Cartago,2.00000000000,"307",-83.89682236720,9.88965278984
"POINT (515140.000000001 1100069.0)",POTRERO CERRADO DE OREAMUNO,NACIENTE MATA DE CAÑA 2,"1100069","515140",15.72500000000,Potrero Cerrado,Oreamuno,Cartago,2.00000000000,"307",-83.86191884760,9.94865662262
"POINT (513507.0 1092595.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE MARIO IVANCOVICH,"1092595","513507",39.25333333000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87683748150,9.88108338528
"POINT (514196.0 1091963.0)",HIGUERONES DE OREAMUNO,NACIENTE HIGUERONES,"1091963","514196",26.56750000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87055713350,9.87536654581
"POINT (514114.999999999 1092500.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE LANKASTER,"1092500","514115",34.85333333000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87129382470,9.88022233104
"POINT (513457.999999999 1092461.0)",CALLE LUCAS DE OREAMUNO,NACIENTE LUCAS,"1092461","513458",18.62923077000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87728473250,9.87987193324
"POINT (514200.000000001 1092618.0)",YERRIS DE SAN RAFAEL DE OREAMUNO,NACIENTE TURBINA O PASO ANCHO,"1092618","514200",43.73437500000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87051834500,9.88128897831
"POINT (513769.999999999 1092719.0)",SAN RAFAEL DE OREAMUNO: SECTOR NORESTE,NACIENTE VILLALTA,"1092719","513770",25.71000000000,Cot,Oreamuno,Cartago,2.00000000000,"307",-83.87443891540,9.88220369547
"POINT (513892.700000001 1089783.6)",PARAÍSO DE CARTAGO: CENTRO,NACIENTE MERO,"1089784","513893",72.51000000000,Llanos de Santa Lucia,Paraiso,Cartago,3.00000000000,"302",-83.87333022550,9.85566165633
"POINT (513863.299999998 1089655.6)",PARAÍSO DE CARTAGO: CENTRO,NACIENTE GUAYABAL,"1089656","513863",67.81000000000,Llanos de Santa Lucia,Paraiso,Cartago,3.00000000000,"302",-83.87359872680,9.85450439149
"POINT (513190.900000001 1089639.2)",LOS LAGOS PIRCEM,NAC. HELECHOS DE CUERO,"1089639","513191",48.57000000000,Llanos de Santa Lucia,Paraiso,Cartago,2.00000000000,"302",-83.87972950570,9.85435834390
"POINT (515477.7 1092995.3)","PARAÍSO: INVU, LA SOLEDAD, LA LAGUNA Y CALLE A OROSI",NACIENTE BOQUERON 1,"1092995","515478",19.70000000000,Cipreses,Oreamuno,Cartago,2.00000000000,"307",-83.85886630040,9.88469580385
"POINT (515996.0 1092295.6)",BIRRISITO DE PARAÍSO,NACIENTE CAPIRA,"1092296","515996",21.43000000000,Birrisito,Paraiso,Cartago,2.00000000000,"302",-83.85414296980,9.87836717497
"POINT (518023.6 1090378.2)",PARRUÁS DE PARAÍSO,NACIENTE PARRUÁS,"1090378","518024",6.40000000000,Santiago,Paraiso,Cartago,1.00000000000,"302",-83.83566326070,9.86102173414
"POINT (524086.1 1086245.4)",PEÑAS BLANCAS DE CACHÍ: SECTOR NACIENTE NICANOR,NACIENTE NICANOR,"1086245","524086",1.39000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.78041113990,9.82362200282
"POINT (515251.999999999 1092695.0)",HUERTAS DE BIRRISITO,MEZCLA DE NACIENTES HUERTAS 1 Y 2,"1092695","515252",12.65000000000,Cipreses,Oreamuno,Cartago,2.00000000000,"307",-83.86092548680,9.88198137889
"POINT (522038.800000001 1085796.2)",CACHÍ DE PARAÍSO: SECTOR NACIENTE CHILAMATE,NACIENTE CHILAMATE,"1085796","522039",1.34000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.79907839120,9.81957197118
"POINT (521966.6 1085711.3)",CIUDADELA LOS ROBLES DE CACHÍ,NACIENTE CHILAMATE 2,"1085711","521967",1.27000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.79973707710,9.81880470346
"POINT (521965.3 1085706.0)",CACHÍ DE PARAÍSO: SECTOR NACIENTE CHILAMATE,NACIENTE CHILAMATE 1,"1085706","521965",1.38000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.79974895760,9.81875678838
"POINT (523258.0 1086546.5)",PEÑAS BLANCAS DE CACHÍ: SECTOR NACIENTE JORGE OBANDO,NACIENTE JORGE OBANDO,"1086546","523258",1.29000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.78795901630,9.82634932860
"POINT (520135.800000001 1085086.6)",LOAIZA DE CACHI,NACIENTE LOAIZA,"1085087","520136",0.88000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.81643098210,9.81316567636
"POINT (521299.8 1084497.9)",VOLIO DE CACHI,MEZCLA DE NACIENTES VOLIO,"1084498","521300",1.20000000000,Cachi,Paraiso,Cartago,1.00000000000,"302",-83.80582245860,9.80783679051
